auction_id,price,time,user,action
8471479,4.01,01:12:17 AM,BaconBitz63,Bid
8471479,4.00,01:12:08 AM,Picasso5493,Bid
8471479,3.99,01:11:59 AM,D3III,Bid
8471479,3.98,01:11:50 AM,thelucas,Bid
8471479,3.97,01:11:49 AM,BaconBitz63,Bid
8471479,3.96,01:11:40 AM,Picasso5493,Bid
8471479,3.95,01:11:31 AM,D3III,Bid
8471479,3.94,01:11:22 AM,BaconBitz63,Bid
8471479,3.93,01:11:13 AM,D3III,Bid
8471479,4.03,01:12:35 AM,Picasso5493,Bid
8471479,4.02,01:12:26 AM,D3III,Bid
8471479,4.21,01:15:10 AM,Picasso5493,Bid
8471479,4.20,01:15:01 AM,amstel87,Bid
8471479,4.19,01:14:57 AM,D3III,Bid
8471479,4.18,01:14:48 AM,BaconBitz63,Bid
8471479,4.17,01:14:39 AM,Larry_45,Bid
8471479,4.16,01:14:31 AM,Picasso5493,Bid
8471479,4.15,01:14:22 AM,D3III,Bid
8471479,4.14,01:14:13 AM,BaconBitz63,Bid
8471479,4.13,01:14:04 AM,Picasso5493,Bid
